epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,56.9198,1.20592,0.96138,0.95353,0.75661,0.52626,0.6263,0.37058,1.27795,0.92306,0.9411,0.000660045,0.000660045,0.000660045
43,58.301,1.23007,1.00217,0.95415,0.63271,0.6487,0.62846,0.32782,1.41499,0.95794,0.96142,0.000649046,0.000649046,0.000649046
44,59.6732,1.18809,0.95674,0.94026,0.62218,0.68618,0.60422,0.35677,1.17908,0.87725,0.92431,0.000638047,0.000638047,0.000638047
45,60.9444,1.185,0.94496,0.9368,0.65671,0.6712,0.60566,0.35699,1.17783,0.87405,0.92732,0.000627048,0.000627048,0.000627048
46,62.2353,1.19338,0.98813,0.95574,0.65245,0.63752,0.59336,0.34283,1.31113,0.90925,0.95407,0.000616049,0.000616049,0.000616049
47,63.5418,1.16952,0.92652,0.94482,0.56484,0.59675,0.56542,0.34493,1.19056,0.88601,0.93625,0.000605051,0.000605051,0.000605051
48,64.9602,1.16384,0.925,0.93753,0.61292,0.52698,0.56287,0.34319,1.20907,0.87873,0.93565,0.000594052,0.000594052,0.000594052
49,66.5798,1.15858,0.90425,0.93028,0.64706,0.50648,0.57813,0.3542,1.24935,0.89135,0.94112,0.000583053,0.000583053,0.000583053
50,67.907,1.21113,0.97979,0.94164,0.59078,0.69757,0.6055,0.3587,1.28441,0.8782,0.94978,0.000572054,0.000572054,0.000572054
51,69.276,1.22213,0.94523,0.94793,0.76269,0.61463,0.65737,0.39811,1.24333,0.86107,0.93991,0.000561055,0.000561055,0.000561055
52,70.6274,1.19066,0.94824,0.94084,0.65638,0.68687,0.65631,0.38011,1.40075,0.91467,0.96229,0.000550056,0.000550056,0.000550056
53,71.9443,1.2381,0.95188,0.94443,0.70832,0.64397,0.65141,0.3665,1.43182,0.91265,0.96759,0.000539057,0.000539057,0.000539057
54,73.2553,1.10618,0.94055,0.93844,0.66839,0.6611,0.63626,0.38316,1.25596,0.87171,0.93269,0.000528058,0.000528058,0.000528058
